,PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
16,76462,17,Dave Cowens,BOS,82,3425,740,1637,0.452,,,,204,262,0.779,,,1329,333,,,,311,1684,2391,,
0,76003,1,Kareem Abdul-Jabbar,MIL,81,3583,1159,2019,0.574,,,,504,732,0.689,,,1346,370,,,,235,2822,3450,,
0,76003,1,Kareem Abdul-Jabbar,MIL,82,3288,1063,1843,0.577,,,,470,681,0.69,,,1311,272,,,,264,2596,3188,,
11,77929,12,Willis Reed,NYK,81,3089,702,1385,0.507,,,,351,464,0.756,,,1126,161,,,,287,1755,2246,,
41,78392,46,Wes Unseld,BLT,82,2970,427,897,0.476,,,,277,458,0.605,,,1491,213,,,,276,1131,2184,,
2,76375,3,Wilt Chamberlain,PHL,82,3836,819,1377,0.595,,,,354,932,0.38,,,1952,702,,,,160,1992,3510,,
2,76375,3,Wilt Chamberlain,PHL,81,3682,785,1150,0.683,,,,386,875,0.441,,,1957,630,,,,143,1956,3689,,
0,76375,1,Wilt Chamberlain,PHL,79,3737,1074,1990,0.54,,,,501,976,0.513,,,1943,414,,,,171,2649,3615,,
25,78049,26,Bill Russell,BOS,78,3466,429,980,0.438,,,,244,426,0.573,,,1878,410,,,,204,1102,2657,,
1,600015,2,Oscar Robertson,CIN,79,3559,840,1740,0.483,,,,800,938,0.853,,,783,868,,,,280,2480,3093,,
18,78049,19,Bill Russell,BOS,78,3500,511,1182,0.432,,,,287,517,0.555,,,1843,348,,,,189,1309,2599,,
16,78049,17,Bill Russell,BOS,76,3433,575,1258,0.457,,,,286,481,0.595,,,1790,341,,,,207,1436,2689,,
17,78049,18,Bill Russell,BOS,78,3458,532,1250,0.426,,,,258,469,0.55,,,1868,268,,,,155,1322,2529,,
0,76375,1,Wilt Chamberlain,PHW,72,3338,1065,2311,0.461,,,,577,991,0.582,,,1941,168,,,,150,2707,3156,,
0,77847,1,Bob Pettit,STL,72,2873,719,1640,0.438,,,,667,879,0.759,,,1182,221,,,,200,2105,2375,,
16,78049,17,Bill Russell,BOS,69,2640,456,1032,0.442,,,,230,443,0.519,,,1564,202,,,,181,1142,2119,,
7,600003,8,Bob Cousy,BOS,64,2364,478,1264,0.378,,,,363,442,0.821,,,309,478,,,,134,1319,1241,,
0,77847,1,Bob Pettit,STL,72,2794,646,1507,0.429,,,,557,757,0.736,,,1164,189,,,,202,1849,2141,,
